Spec,SubRelease,photon-3.0,photon-4.0,photon-5.0,photon-6.0,photon-common,photon-dev,photon-master,photon-main
chkconfig.spec,,1.9-1,1.9-3,,1.21-3,,1.21-2,1.21-2,
chkconfig.spec,90,,,1.21-3.1.1,,,,,
chkconfig.spec,91,,,,,,,,1.21-3.1
chromium.spec,,,142.0.7444.175-1,148.0.7778.165-1,140.0.7339.127-1,,131.0.6778.268-1,131.0.6778.268-1,148.0.7778.165-1
chrony.spec,,4.0-2,4.0-5,4.3-3,4.3-2,,4.3-2,4.3-2,4.3-3
chrpath.spec,,0.16-1,0.16-1,,0.16-2,,0.16-1,0.16-1,0.16-2
chrpath.spec,90,,,0.16-2.1,,,,,
cifs-utils.spec,,6.8-4,6.13-3,7.4-1,7.0-3,,7.0-1,7.0-1,7.4-1
clang.spec,,10.0.1-4,12.0.0-3,,18.1.8-2,,15.0.7-7,15.0.7-7,
clang.spec,90,,,18.1.8-2.1.1,,,,,
clang.spec,91,,,,,,,,18.1.8-2.1
cloud-init.spec,,22.4.2-6,25.1.3-3,25.1.3-10,25.1.3-4,,24.4-1,24.4-1,25.1.3-8
cloud-init.spec,90,,,25.1.3-4.1.1,,,,,
cloud-init.spec,91,,,,,,,,25.1.3-4.1
cloud-network-setup.spec,,,0.2.2-11,0.2.2-17,0.2.2-15,,0.2.2-7,0.2.2-7,0.2.2-17
cloud-utils.spec,,0.30-3,0.31-2,0.32-3,0.32-3,,0.32-3,0.32-3,0.32-3
cmake.spec,,3.13.5-2,3.18.3-10,3.25.2-11,3.25.2-10,,3.25.2-4,3.25.2-4,3.25.2-11
cmocka.spec,,1.1.2-3,1.1.5-4,1.1.5-4,1.1.5-4,,1.1.5-3,1.1.5-3,1.1.5-4
cni.spec,,1.1.1-9,1.1.1-13,1.7.1-2,1.7.1-1,,1.1.1-8,1.1.1-8,1.7.1-2
colm.spec,,,0.14.7-1,0.14.7-2,0.14.7-2,,0.14.7-1,0.14.7-1,0.14.7-2
commons-daemon.spec,,1.1.0-5,1.2.3-5,1.3.3-6,1.3.3-6,,1.3.3-3,1.3.3-3,1.3.3-6
commons-httpclient.spec,,3.1-3,3.1-5,3.1-7,3.1-7,,3.1-4,3.1-4,3.1-7
compat-gdbm.spec,,1.8.3-3,,,,,,,
conmon.spec,,,2.1.7-4,2.1.7-7,2.1.7-6,,2.1.7-1,2.1.7-1,2.1.7-7
connect-proxy.spec,,,,1.105-2,1.105-2,,,,1.105-2
conntrack-tools.spec,,1.4.6-2,1.4.6-4,1.4.7-5,1.4.7-4,,1.4.7-3,1.4.7-3,1.4.7-5
consul.spec,,1.11.9-7,1.11.9-11,,,,1.15.4-6,1.15.4-6,
containerd.spec,,1.6.8-11,1.6.8-18,2.2.1-3,2.1.5-1,,1.6.17-11,1.6.17-11,2.2.1-2
containerd.spec,90,,,2.1.5-2.1.1,,,,,
containerd.spec,91,,,,,,,,2.1.5-2.1
containers-common.spec,,,4-1,4-3,4-3,,4-1,4-1,4-3
copenapi.spec,,0.0.2-3,0.0.2-3,,,,,,
coredns.spec,,1.11.1-3,1.11.1-11,1.11.1-16,1.11.1-14,,1.11.1-2,1.11.1-2,1.11.1-16
coreutils-selinux.spec,,,9.1-5,9.1-13,9.1-12,,,,9.1-13
coreutils.spec,,8.30-3,9.1-5,9.1-9,9.1-8,,9.1-7,9.1-7,9.1-9
cpio.spec,,2.13-5,2.13-10,2.13-11,2.13-11,,2.13-8,2.13-8,2.13-11
cppcheck.spec,,2.9.3-1,2.9.3-1,2.9.3-4,2.9.3-3,,2.9.3-4,2.9.3-4,2.9.3-4
cppunit.spec,,1.12.1-2,1.12.1-2,,1.12.1-3,,1.12.1-2,1.12.1-2,
cppunit.spec,90,,,1.12.1-4.1,,,,,1.12.1-4.1
cpulimit.spec,,1.2-1,1.2-1,2.8-2,2.8-2,,2.8-1,2.8-1,2.8-2
cracklib.spec,,2.9.7-2,2.9.7-4,2.10.3-2,2.9.8-3,,2.9.8-1,2.9.8-1,2.10.3-1
cracklib.spec,90,,,2.9.8-3.1.1,,,,,
cracklib.spec,91,,,,,,,,2.9.8-3.1
crash-gcore-command.spec,,,,,,,1.6.3-1,1.6.3-1,
crash.spec,,8.0.2-1,8.0.2-2,9.0.0-1,8.0.2-7,,8.0.2-6,8.0.2-6,9.0.0-1
createrepo_c.spec,,0.11.1-6,0.16.0-11,1.2.2-3,0.20.1-9,,0.20.1-12,0.20.1-12,1.2.2-3
createrepo_c.spec,90,,,0.20.1-9.1.1,,,,,0.20.1-9.1.1
createrepo_c.spec,91,,,1.2.2-2.1,,,,,1.2.2-2.1
cri-tools.spec,,1.21.0-15,1.21.0-19,1.34.0-2,1.33.0-1,,1.22.0-12,1.22.0-12,1.34.0-2
cronie.spec,,1.5.5-2,1.5.5-2,1.6.1-3,1.6.1-3,,1.6.1-2,1.6.1-2,1.6.1-3
crun.spec,,,,1.8-12,1.8-9,,1.8-2,1.8-2,1.8-11
crun.spec,90,,,1.8-10.1.1,,,,,
crun.spec,91,,,,,,,,1.8-10.1
cryptsetup.spec,,2.4.2-3,2.4.2-5,2.4.3-8,2.4.3-7,,2.4.3-4,2.4.3-4,2.4.3-7
cryptsetup.spec,90,,,2.4.3-7.1,,,,,
cscope.spec,,15.9-1,15.9-1,15.9-2,15.9-2,,15.9-1,15.9-1,15.9-2
ctags.spec,,5.8-2,6.2-1,6.2-3,6.2-1,,6.0-4,6.0-4,6.2-2
ctags.spec,90,,,6.2-1.1.1,,,,,
ctags.spec,91,,,,,,,,6.2-1.1
cups.spec,,,2.4.18-1,2.4.18-1,2.4.11-4,,2.4.11-1,2.4.11-1,2.4.18-1
curl.spec,,8.1.2-9,8.20.0-1,8.20.0-1,8.16.0-1,,8.1.2-4,8.1.2-4,8.19.0-2
cve-check-tool.spec,,5.6.4.1-11,5.6.4.1-14,,5.6.4.1-21,,5.6.4.1-20,5.6.4.1-20,5.6.4.1-21
cve-check-tool.spec,90,,,5.6.4.1-21.1,,,,,
cyrus-sasl.spec,,2.1.26-17,2.1.27-7,2.1.28-6,2.1.28-6,,2.1.28-5,2.1.28-5,2.1.28-6
cython.spec,,0.28.5-2,,,,,,,
cython3.spec,,0.28.5-2,3.0a6-2,3.2.4-2,0.29.32-4,,0.29.32-2,0.29.32-2,3.2.4-1
cython3.spec,90,,,0.29.32-4.1.1,,,,,
cython3.spec,91,,,,,,,,0.29.32-4.1
dbus-broker.spec,,,32-4,33-6,33-4,,33-2,33-2,33-5
dbus-broker.spec,90,,,33-4.1.1,,,,,
dbus-broker.spec,91,,,,,,,,33-4.1
dbus-glib.spec,,0.110-3,0.110-4,0.112-5,0.112-5,,0.112-5,0.112-5,0.112-5
dbus-python.spec,,1.2.16-1,1.2.16-5,1.4.0-2,1.3.2-3,,1.3.2-3,1.3.2-3,1.4.0-1
dbus-python.spec,90,,,1.3.2-3.1.1,,,,,
dbus-python.spec,91,,,,,,,,1.3.2-3.1
dbus.spec,,1.13.8-4,1.13.18-6,1.16.2-3,1.15.4-7,,1.15.8-1,1.15.8-1,1.16.2-3
dbus.spec,90,,,1.15.4-8.1.1,,,,,1.15.4-8.1.1
dbxtool.spec,,8-1,8-1,,,,,,
dcerpc.spec,,,1.2.0-3,,,,,,
ddclient.spec,,3.9.1-1,3.9.0-2,3.9.1-3,3.9.1-2,,3.9.1-1,3.9.1-1,3.9.1-3
debugedit.spec,,,,5.0-9,5.0-9,,5.0-9,5.0-9,5.0-9
dejagnu.spec,,1.6-1,1.6.2-1,1.6.2-3,1.6.2-3,,1.6.2-2,1.6.2-2,1.6.2-3
dejavu-fonts.spec,,2.37-1,2.37-1,,,,2.37-1,2.37-1,
device-mapper-multipath.spec,,0.9.1-1,0.9.1-2,0.9.4-8,0.9.4-5,,0.9.4-2,0.9.4-2,0.9.4-6
device-mapper-multipath.spec,90,,,0.9.4-7.0.1,,,,,
dhcp.spec,,4.3.5-10,4.4.2-6,,4.4.3-5,,4.4.3-2,4.4.3-2,
dhcp.spec,90,,,4.4.3-5.1.1,,,,,
dhcp.spec,91,,,,,,,,4.4.3-5.1
dhcpcd.spec,,,,10.2.4-2,,,,,10.2.4-1
dialog.spec,,1.3-5.20180621,1.3-6.20200327,1.3-11.20220728,1.3-11.20220728,,1.3-9.20220728,1.3-9.20220728,1.3-11.20220728
diffutils.spec,,3.6-3,3.7-2,3.8-4,3.8-4,,3.8-3,3.8-3,3.8-4
ding-libs.spec,,0.6.2-1,0.6.2-1,0.6.2-2,0.6.2-2,,0.6.2-1,0.6.2-1,0.6.2-2
distcc.spec,,,3.4-4,3.4-7,3.4-4,,3.4-3,3.4-3,3.4-6
distcc.spec,90,,,3.4-4.1.1,,,,,
distcc.spec,91,,,,,,,,3.4-4.1
distrib-compat.spec,,0.1-12,0.1-2,0.1-4,0.1-4,,0.1-3,0.1-3,0.1-4
dkms.spec,,2.6.1-2,2.8.4-1,3.0.10-3,3.0.10-3,,3.0.10-2,3.0.10-2,3.0.10-3
dmidecode.spec,,3.5-1,3.5-1,3.5-2,3.5-2,,3.5-1,3.5-1,3.5-2
dnsmasq.spec,,2.90-1,2.92rel2-2,2.92rel2-1,2.90-2,,2.90-1,2.90-1,2.90-4
dnsmasq.spec,90,,,2.90-4.1,,,,,
docbook-xml.spec,,4.5-9,4.5-9,4.5-13,4.5-13,,4.5-12,4.5-12,4.5-13
docbook-xsl.spec,,1.79.1-8,1.79.1-8,1.79.1-11,1.79.1-11,,1.79.1-12,1.79.1-12,1.79.1-11
docker-buildx.spec,,,0.17.1-2,0.32.0-3,0.17.1-4,,,,0.32.0-2
docker-buildx.spec,90,,,0.17.1-5.1.1,,,,,
docker-buildx.spec,91,,,,,,,,0.17.1-5.1
docker-compose.spec,,2.20.2-6,2.33.1-3,2.40.3-3,2.33.1-3,,2.20.2-5,2.20.2-5,2.40.3-3
docker-py.spec,,3.5.0-1,6.0.0-2,7.1.0-2,6.0.0-6,,6.0.0-3,6.0.0-3,7.1.0-1
docker-py.spec,90,,,6.0.0-6.1.1,,,,,
docker-py.spec,91,,,,,,,,6.0.0-6.1
docker-pycreds.spec,,0.3.0-1,0.4.0-2,0.4.0-6,0.4.0-3,,0.4.0-2,0.4.0-2,0.4.0-5
docker-pycreds.spec,90,,,0.4.0-3.1.1,,,,,
docker-pycreds.spec,91,,,,,,,,0.4.0-3.1
docker-vsock.spec,,0.0.1-1,,,,,,,
docker.spec,,24.0.5-5,24.0.9-9,29.4.1-3,28.2.2-3,,24.0.9-1,24.0.9-1,29.4.1-1
docker.spec,90,,,28.2.2-7.4.1,,,,,
docker.spec,91,,,,,,,,28.2.2-7.4
dool.spec,,,1.2.0-1,1.2.0-5,1.2.0-2,,1.2.0-1,1.2.0-1,1.2.0-4
dool.spec,90,,,1.2.0-2.1.1,,,,,
dool.spec,91,,,,,,,,1.2.0-2.1
dos2unix.spec,,,7.4.2-2,7.4.3-3,7.4.3-3,,7.4.3-2,7.4.3-2,7.4.3-3
dosfstools.spec,,4.1-2,4.1-2,4.2-2,4.2-2,,4.2-1,4.2-1,4.2-2
dotnet-runtime.spec,,6.0.36-1,8.0.26-1,10.0.8-1,8.0.17-1,,8.0.7-1,8.0.7-1,
dotnet-runtime.spec,90,,,8.0.26-2.0.1,,,,,8.0.26-1.1.1
dotnet-sdk.spec,,6.0.428-1,8.0.420-1,10.0.300-1,8.0.411-1,,8.0.206-1,8.0.206-1,
dotnet-sdk.spec,90,,,8.0.420-2.0.1,,,,,8.0.420-1.1
double-conversion.spec,,3.2.1-1,3.2.1-1,3.2.1-2,3.2.1-2,,3.2.1-1,3.2.1-1,3.2.1-2
dovecot-pigeonhole.spec,,,,0.5.21.1-1,,,,,
dovecot.spec,,,,2.3.21.1-2,,,,,
doxygen.spec,,1.8.20-1,1.8.20-6,1.9.5-5,1.9.5-3,,1.9.5-2,1.9.5-2,1.9.5-4
doxygen.spec,90,,,1.9.5-3.1.1,,,,,
doxygen.spec,91,,,,,,,,1.9.5-3.1
dracut.spec,,048-10,050-13,109-2,059-11,,059-13,059-13,109-2
dracut.spec,90,,,059-11.1.1,,,,,059-11.1.1
drpm.spec,,,0.5.0-7,,0.5.1-9,,0.5.2-3,0.5.2-3,
drpm.spec,90,,,0.5.1-9.1.1,,,,,0.5.1-9.1.1
dstat.spec,,0.7.4-2,,,,,,,
dtb-raspberrypi.spec,,,5.10.4.2021.01.07-3,,6.1.10.2023.02.28-2,,6.1.10.2023.02.28-1,6.1.10.2023.02.28-1,6.1.10.2023.02.28-2
dtb-raspberrypi.spec,90,,,6.1.10.2023.02.28-2.0.1,,,,,
dtc.spec,,1.5.0-1,1.6.0-1,1.6.1-3,1.6.1-3,,1.6.1-2,1.6.1-2,1.6.1-3
duktape.spec,,,,2.7.0-2,2.7.0-2,,2.7.0-1,2.7.0-1,2.7.0-2
dwarves.spec,,,1.24-1,1.24-5,1.24-3,,1.24-3,1.24-3,1.24-4
dwz.spec,,,,0.15-5,0.15-5,,0.15-3,0.15-3,0.15-5
e2fsprogs.spec,,1.46.5-2,1.46.5-2,1.47.4-2,1.46.5-5,,1.46.5-3,1.46.5-3,1.46.5-5
e2fsprogs.spec,90,,,1.46.5-5.0.1,,,,,
ebtables.spec,,2.0.11-2,2.0.11-2,2.0.11-4,2.0.11-3,,2.0.11-2,2.0.11-2,2.0.11-4
ecdsa.spec,,0.13-5,,,,,,,
ed.spec,,1.14.2-3,1.16-2,1.19-2,1.19-2,,1.19-1,1.19-1,1.19-2
edgex.spec,,0.7.1-33,2.2.0-19,,,,2.2.0-12,2.2.0-12,
efibootmgr.spec,,15-1,17-1,18-3,18-3,,18-2,18-2,18-3
efivar.spec,,36-1,37-2,38-4,38-2,,38-1,38-1,38-3
elasticsearch.spec,,6.8.15-3,,,,,,,
elfutils.spec,,0.176-3,0.181-8,0.189-11,0.189-7,,0.189-4,0.189-4,0.189-9
elixir.spec,,1.13.4-3,1.17.3-2,1.17.3-2,1.17.3-1,,1.16.3-1,1.16.3-1,1.17.3-2
emacs.spec,,27.1-4,30.1-2,30.1-4,30.1-3,,29.4-1,29.4-1,30.1-4
enchant.spec,,,,2.5.0-4,2.5.0-4,,2.5.0-2,2.5.0-2,2.5.0-4
erlang-sd_notify.spec,,1.1-4,1.1-8,1.1-10,1.1-9,,1.1-5,1.1-5,1.1-10
erlang.spec,,25.1-2,27.3.4.10-1,27.3.4.11-1,27.3.4.3-1,,26.2.5-1,26.2.5-1,27.3.4.10-1
erofs-utils.spec,,,,1.9.1-3,,,,,1.9.1-2
etcd-3.3.27.spec,,3.3.27-18,,,,,,,
