Spec,Source0 original,Modified Source0 for url health check,UrlHealth,UpdateAvailable,UpdateURL,HealthUpdateURL,Name,SHAName,UpdateDownloadName,warning,ArchivationDate
libseccomp.spec,https://github.com/seccomp/libseccomp/releases/download/v%{version}/%{name}-%{version}.tar.gz,https://github.com/seccomp/libseccomp/releases/download/v2.5.4/libseccomp-2.5.4.tar.gz,200,2.6.1,https://github.com/seccomp/libseccomp/releases/download/v2.6.1/libseccomp-2.6.1.tar.gz,200,libseccomp,468404874EE013177F048611A4FEFEF87F4EE01B83D991F8BF9026C8FDB8506BADD613E0355AD8222C5A7F51162B6829DE6D72FC53222A56E0E123D5E85F73C4,libseccomp-2.6.1.tar.gz,,
libselinux.spec,https://github.com/SELinuxProject/selinux/releases/download/%{version}/%{name}-%{version}.tar.gz,https://github.com/SELinuxProject/selinux/archive/refs/tags/libselinux-3.5.tar.gz,200,3.11,https://github.com/SELinuxProject/selinux/archive/refs/tags/libselinux-3.11.tar.gz,200,libselinux,7995AA7095028095B59339D75A5E39424233218E05744CE2B7E8434C105FF00C3F4BB75B648A04C1B637D6AD960072622D89394EFABF1926B8C2CDB896A6B8E4,libselinux-3.11.tar.gz,,
libsemanage.spec,https://github.com/SELinuxProject/selinux/releases/download/%{version}/%{name}-%{version}.tar.gz,https://github.com/SELinuxProject/selinux/releases/download/3.5/libsemanage-3.5.tar.gz,200,3.11,https://github.com/SELinuxProject/selinux/releases/download/3.11/libsemanage-3.11.tar.gz,200,libsemanage,CAFCDAC9BA9A65F7940929F3E36E7E35ECE6EF5CB97723E459BA7FDAAF937708873CB1C273733830F7FC54679C4CF6AE0189322231748D318A6DB2851DB1D11A,libsemanage-3.11.tar.gz,,
libsepol.spec,https://github.com/SELinuxProject/selinux/releases/download/%{version}/%{name}-%{version}.tar.gz,https://github.com/SELinuxProject/selinux/releases/download/3.5/libsepol-3.5.tar.gz,200,3.11,https://github.com/SELinuxProject/selinux/releases/download/3.11/libsepol-3.11.tar.gz,200,libsepol,38335292BE8B8CE8B22BB2A0E481F92E2BBF532D9A2EE5319ADA0B3FD294DF487E5EBA8041BAC2A09EF7B048FEE13CA0520C34CB3283FEA1F95FCC5752F66B81,libsepol-3.11.tar.gz,,
libslirp.spec,https://gitlab.com/qemu-project/libslirp/-/archive/v%{version}/%{name}-v%{version}.tar.gz,https://gitlab.freedesktop.org/slirp/libslirp/-/archive/v4.7.0/libslirp-v4.7.0.tar.gz,200,2.5.20200525,https://gitlab.freedesktop.org/slirp/libslirp/-/archive/v2.5.20200525/libslirp-v2.5.20200525.tar.xz,200,libslirp,,libslirp-v2.5.20200525.tar.xz,Info: Packaging format .tar.gz has changed to .tar.xz,
libSM.spec,https://ftp.x.org/pub/individual/lib/%{name}-%{version}.tar.xz,https://ftp.x.org/pub/individual/lib/libSM-1.2.4.tar.xz,200,1.2.6,https://ftp.x.org/pub/individual/lib/libSM-1.2.6.tar.xz,200,libSM,E544A1DC49A03390F76AF35837BFD01F749B806D88D3EE806F20311C47FF53D0AEEA4744FEB875958031B17D50B57A89DCC41D81241C09333C88B268C44653A7,libSM-1.2.6.tar.xz,,
libsodium.spec,https://download.libsodium.org/libsodium/releases/%{name}-%{version}-stable.tar.gz,https://download.libsodium.org/libsodium/releases/libsodium-1.0.18-stable.tar.gz,200,1.0.22,https://download.libsodium.org/libsodium/releases/libsodium-1.0.22-stable.tar.gz,200,libsodium,4AB04CA78AF95AE9FB13A54D425E9148F2502CFE70EE37EDAB3A39D1D57F534DF273806EF85B33B429A683A86267F8CB9DCABE30BD269ABCD639BB99E9D50FA3,libsodium-1.0.22-stable.tar.gz,,
libsolv.spec,https://github.com/openSUSE/libsolv/archive/%{name}-%{version}.tar.gz,https://github.com/openSUSE/libsolv/archive/refs/tags/0.7.25.tar.gz,200,0.7.39,https://github.com/openSUSE/libsolv/archive/refs/tags/0.7.39.tar.gz,200,libsolv,B2879217AA00A88ADE731FED05ED282AF8678E0DB7970D3AE392F6A9D41D20A348875268ABB05FF7FBE9F65F4E41F25CD5C5F0B255382802298A779484806779,libsolv-0.7.39.tar.gz,,
libsoup.spec,http://ftp.gnome.org/pub/GNOME/sources/libsoup/3.2/%{name}-%{version}.tar.xz,https://github.com/GNOME/libsoup/archive/refs/tags/3.2.1.tar.gz,200,3.7.1,https://github.com/GNOME/libsoup/archive/refs/tags/3.7.1.tar.gz,200,libsoup,B27B16888D979B0C37A20B100FA39A6A0B728C18B7D21BFC4306C39D9901C812E5BB6E2CFCFDCD39FACD5D0BF6263D2CB4861F18A54D0CE59BA67C94837583F8,libsoup-3.7.1.tar.gz,,
libssh.spec,https://www.libssh.org/files/0.10/%{name}-%{version}.tar.xz,https://www.libssh.org/files/0.11/libssh-0.10.5.tar.xz,200,0.12.0,https://www.libssh.org/files/0.12/libssh-0.12.0.tar.xz,200,libssh,DD28483F391E36C9DA0F0B8C469BC9E19F75DC1016D04E35930B1A28E0711FA02A1EAE9DDEB95B9E48CB1FD3F2BC456789457BC092CF53D00D55B20257F082A2,libssh-0.12.0.tar.xz,,
