Spec,photon-1.0,photon-2.0,photon-3.0,photon-4.0,photon-5.0,photon-6.0,photon-common,photon-dev,photon-master
proto.spec,,,7.7-1,7.7-5,7.7-6,7.7-6,,7.7-5,7.7-5
protobuf-c.spec,1.2.1-2,1.2.1-2,1.3.1-3,1.5.0-1,1.5.0-2,1.5.0-2,,1.5.0-1,1.5.0-1
protobuf.spec,2.6.1-7,3.2.0-6,3.6.1-5,3.23.3-2,3.23.3-4,3.23.3-2,,3.23.3-1,3.23.3-1
protobuf3.spec,3.0.0-5,,,,,,,,
psmisc.spec,22.21-5,22.21-5,23.2-4,23.3-1,23.6-4,23.6-4,,23.6-3,23.6-3
pth.spec,2.0.7-1,2.0.7-1,2.0.7-1,2.0.7-1,2.0.7-2,2.0.7-2,,2.0.7-1,2.0.7-1
pycrypto.spec,2.6.1-6,2.6.1-5,2.6.1-5,,,,,,
pycurl.spec,7.21.5-4,7.43.0-3,7.43.0-5,7.43.0.6-7,7.45.1-4,7.45.1-4,,7.45.1-3,7.45.1-3
pygobject.spec,3.10.2-2,3.24.1-3,3.30.1-4,,,,,,
pyjsparser.spec,2.5.2-1,2.5.2-1,,,,,,,
PyPAM.spec,0.5.0-2,0.5.0-3,0.5.0-4,0.5.0-6,,,,,
python-alabaster.spec,,0.7.10-3,0.7.11-1,0.7.12-2,0.7.12-3,0.7.12-3,,0.7.12-2,0.7.12-2
python-altgraph.spec,,,0.17-1,0.17-2,0.17.2-3,0.17.2-3,,0.17.2-2,0.17.2-2
python-antlrpythonruntime.spec,3.1.2-1,3.1.3-2,3.1.3-2,,,,,,
python-appdirs.spec,,1.4.3-3,1.4.3-3,1.4.4-3,1.4.4-4,1.4.4-4,,1.4.4-3,1.4.4-3
python-argparse.spec,,,,1.4.0-2,1.4.0-2,1.4.0-2,,1.4.0-1,1.4.0-1
python-asn1crypto.spec,0.22.0-1,0.22.0-3,0.24.0-1,1.4.0-2,1.5.1-3,1.5.1-3,,1.5.1-2,1.5.1-2
python-atomicwrites.spec,1.1.5-1,1.1.5-2,1.2.1-3,1.4.0-3,1.4.1-3,1.4.1-3,,1.4.1-3,1.4.1-3
python-attrs.spec,16.3.0-1,16.3.0-3,18.2.0-3,22.2.0-1,22.1.0-3,22.1.0-3,,22.1.0-3,22.1.0-3
python-automat.spec,0.5.0-1,0.5.0-4,0.7.0-1,20.2.0-4,22.10.0-3,22.10.0-3,,22.10.0-2,22.10.0-2
python-autopep8.spec,,,1.4.4-1,1.5.4-4,2.0.0-3,2.0.0-3,,2.0.0-2,2.0.0-2
python-babel.spec,,2.4.0-4,2.6.0-4,2.9.1-2,2.10.3-3,2.10.3-3,,2.10.3-3,2.10.3-3
python-backports_abc.spec,0.5-2,0.5-1,0.5-3,0.5-5,0.5-2,0.5-2,,0.5-1,0.5-1
python-backports.ssl_match_hostname.spec,3.5.0.1-1,3.5.0.1-1,3.5.0.1-1,3.7.0.1-3,3.7.0.1-4,3.7.0.1-4,,3.7.0.1-3,3.7.0.1-3
python-bcrypt.spec,,,3.1.6-2,3.2.0-2,3.2.2-2,3.2.2-2,,3.2.2-1,3.2.2-1
python-binary.spec,,,1.0.0-1,1.0.0-1,1.0.0-3,1.0.0-3,,1.0.0-2,1.0.0-2
python-boto.spec,2.48.0-1,2.48.0-1,2.49.0-1,2.49.0-4,2.49.0-4,2.49.0-4,,2.49.0-3,2.49.0-3
python-boto3.spec,1.5.9-1,,1.9.0-1,1.16.13-3,1.24.56-3,1.24.56-3,,1.24.56-2,1.24.56-2
python-botocore.spec,1.8.15-1,,1.12.0-2,1.21.3-3,1.27.56-4,1.27.56-4,,1.27.56-3,1.27.56-3
python-build.spec,,,,,,,,1.2.1-1,1.2.1-1
python-CacheControl.spec,0.12.3-1,0.12.3-2,0.12.5-1,0.12.6-2,0.12.11-2,0.12.11-2,,0.12.11-1,0.12.11-1
python-cachetools.spec,,,,,5.4.0-2,5.4.0-2,,5.4.0-1,5.4.0-1
python-cassandra-driver.spec,3.10.0-1,3.10.0-5,3.15.1-3,3.24.0-6,3.25.0-2,3.25.0-2,,3.25.0-1,3.25.0-1
python-certifi.spec,2018.11.29-1,,2023.11.17-2,2023.11.17-2,2023.11.17-3,2023.11.17-3,,2022.6.15-2,2022.6.15-2
python-cffi.spec,1.9.1-3,1.10.0-3,1.12.2-1,1.14.3-3,1.15.1-2,1.15.1-2,,1.15.1-2,1.15.1-2
python-chardet.spec,,,3.0.4-1,4.0.0-1,5.0.0-2,5.0.0-2,,5.0.0-1,5.0.0-1
python-charset-normalizer.spec,,,,2.0.9-1,2.1.1-2,2.1.1-2,,2.1.1-1,2.1.1-1
python-click.spec,,,,8.0.1-2,8.1.3-2,8.1.3-2,,8.1.3-1,8.1.3-1
python-ConcurrentLogHandler.spec,0.9.1-1,0.9.1-2,0.9.1-3,0.9.23-1,0.9.20-4,0.9.20-4,,0.9.20-3,0.9.20-3
python-configobj.spec,5.0.6-3,5.0.6-4,5.0.6-4,5.0.6-6,5.0.6-7,5.0.6-7,,5.0.6-6,5.0.6-6
python-configparser.spec,3.5.0-1,3.5.0-3,3.5.0-3,5.0.1-4,5.3.0-2,5.3.0-2,,5.3.0-1,5.3.0-1
python-constantly.spec,15.1.0-1,15.1.0-2,15.1.0-2,15.1.0-4,15.1.0-5,15.1.0-5,,15.1.0-4,15.1.0-4
python-coverage.spec,4.3.4-3,4.3.4-5,4.5.1-2,5.3-3,6.4.4-2,6.4.4-2,,6.4.4-2,6.4.4-2
python-cqlsh.spec,5.0.4-1,5.0.4-1,5.0.4-1,6.1.2-1,6.1.2-2,6.1.2-2,,6.1.2-1,6.1.2-1
python-cryptography.spec,1.9-1,2.3.1-2,3.1.1-3,41.0.7-2,41.0.7-6,41.0.7-6,,42.0.7-1,42.0.7-1
python-daemon.spec,2.1.2-1,2.1.2-4,2.2.0-2,2.3.2-1,2.3.2-2,2.3.2-2,,2.3.2-1,2.3.2-1
python-dateutil.spec,2.6.1-1,,2.7.3-1,2.8.1-3,2.8.2-3,2.8.2-3,,2.8.2-2,2.8.2-2
python-decorator.spec,,,4.4.2-1,4.4.2-2,5.1.1-2,5.1.1-2,,5.1.1-1,5.1.1-1
python-deepmerge.spec,,,0.0.5-4,0.2.1-1,1.1.0-2,1.1.0-2,,1.1.0-1,1.1.0-1
python-defusedxml.spec,0.5.0-2,0.5.0-3,0.5.0-3,0.6.0-2,0.7.1-3,0.7.1-3,,0.7.1-2,0.7.1-2
python-dis3.spec,,,0.1.3-1,,,,,,
python-distlib.spec,,,,0.3.1-3,0.3.6-3,0.3.6-3,,0.3.6-2,0.3.6-2
python-distro.spec,,1.4.0-3,1.5.0-1,1.5.0-2,1.7.0-2,1.7.0-2,,1.7.0-1,1.7.0-1
python-dnspython.spec,1.15.0-1,1.15.0-3,1.15.0-3,2.0.0-2,2.6.1-2,2.6.1-2,,2.6.1-1,2.6.1-1
python-docopt.spec,0.6.2-1,0.6.2-1,0.6.2-1,0.6.2-4,0.6.2-5,0.6.2-5,,0.6.2-4,0.6.2-4
python-docutils.spec,0.13.1-1,0.13.1-3,0.14-1,0.16-3,0.19-3,0.19-3,,0.19-2,0.19-2
python-ecdsa.spec,,,,0.16.0-2,0.18.0-2,0.18.0-2,,0.18.0-2,0.18.0-2
python-email-validator.spec,,,1.2.1-1,1.2.1-1,1.2.1-3,1.2.1-3,,1.2.1-2,1.2.1-2
python-enum.spec,0.4.6-1,0.4.6-2,0.4.7-2,,,,,,
python-enum34.spec,1.1.6-1,1.1.6-2,1.1.6-2,,,,,,
python-etcd.spec,0.4.5-1,0.4.5-1,0.4.5-4,0.4.5-8,0.4.5-9,0.4.5-9,,0.4.5-9,0.4.5-9
python-ethtool.spec,,,0.14-2,0.15-1,0.15-2,0.15-2,,0.15-1,0.15-1
python-filelock.spec,,,,3.0.12-2,3.8.0-2,3.8.0-2,,3.8.0-1,3.8.0-1
python-flit-core.spec,,,,,3.7.1-2,3.7.1-2,,3.9.0-1,3.9.0-1
python-fuse.spec,0.2.1-1,0.2.1-2,0.3.1-2,1.0.2-2,1.0.5-2,1.0.5-2,,1.0.5-1,1.0.5-1
python-future.spec,,,0.18.2-1,,,,,,
python-futures.spec,3.1.1-1,3.1.1-1,3.2.0-1,,,,,,
python-geomet.spec,,,,0.3.0-1,0.3.0-2,0.3.0-2,,0.3.0-1,0.3.0-1
python-gevent.spec,1.2.1-3,1.2.1-6,1.3.6-2,21.8.0-3,23.9.1-1,23.7.0-2,,23.7.0-2,23.7.0-2
python-google-auth.spec,,,,,2.32.0-2,2.32.0-2,,2.32.0-1,2.32.0-1
python-graphviz.spec,,0.8-1,0.9-1,0.14.2-2,0.20.1-3,0.20.1-3,,0.20.1-2,0.20.1-2
python-greenlet.spec,0.4.12-2,0.4.12-3,0.4.15-2,1.1.2-1,2.0.0-2,2.0.0-2,,2.0.0-1,2.0.0-1
python-hatch-fancy-pypi-readme.spec,,,,,22.8.0-2,22.8.0-2,,22.8.0-1,22.8.0-1
python-hatch-vcs.spec,,,,,0.2.0-2,0.2.0-2,,0.2.0-1,0.2.0-1
python-hatchling.spec,,,,,1.11.1-2,1.11.1-2,,1.11.1-1,1.11.1-1
python-hyperlink.spec,,17.3.1-2,18.0.0-3,20.0.1-3,21.0.0-2,21.0.0-2,,21.0.0-2,21.0.0-2
python-hypothesis.spec,3.8.2-1,3.8.2-3,3.71.0-1,5.41.1-3,6.54.4-2,6.54.4-2,,6.54.4-1,6.54.4-1
python-idna.spec,2.5-1,2.5-2,2.7-1,2.10-3,3.3-4,3.3-3,,3.3-2,3.3-2
python-imagesize.spec,,0.7.1-3,1.1.0-2,1.2.0-3,1.4.1-2,1.4.1-2,,1.4.1-1,1.4.1-1
python-importlib-metadata.spec,,,4.13.0-1,6.0.0-1,6.0.0-3,6.0.0-3,,6.0.0-2,6.0.0-2
python-incremental.spec,16.10.1-1,16.10.1-2,17.5.0-1,21.3.0-1,21.3.0-2,21.3.0-2,,21.3.0-1,21.3.0-1
python-iniconfig.spec,,,,1.1.1-3,1.1.1-4,1.1.1-4,,1.1.1-3,1.1.1-3
python-iniparse.spec,0.4-2,0.4-6,0.4-6,0.5-2,0.5-3,0.5-3,,0.5-2,0.5-2
python-installer.spec,,,,,,,,0.7.0-1,0.7.0-1
python-ipaddr.spec,2.1.11-3,2.1.11-4,2.2.0-1,2.2.0-3,2.2.0-4,2.2.0-4,,2.2.0-3,2.2.0-3
python-ipaddress.spec,1.0.18-1,1.0.18-2,1.0.22-2,1.0.23-2,1.0.23-3,1.0.23-3,,1.0.23-2,1.0.23-2
python-jinja2.spec,2.9.5-2,2.9.5-6,2.10-1,3.1.2-2,3.1.2-5,3.1.2-4,,3.1.2-2,3.1.2-2
python-jmespath.spec,0.9.3-2,,0.9.3-2,0.10.0-4,1.0.1-3,1.0.1-3,,1.0.1-3,1.0.1-3
python-Js2Py.spec,0.50-1,0.50-1,0.66-1,0.74-1,0.74-2,0.74-2,,0.74-1,0.74-1
python-jsonpatch.spec,1.15-1,1.15-4,1.23-1,1.26-2,1.32-2,1.32-2,,1.32-1,1.32-1
python-jsonpointer.spec,1.10-3,1.10-6,2.0-1,2.0-3,2.3-2,2.3-2,,2.3-1,2.3-1
python-jsonschema.spec,,,2.6.0-1,3.2.0-3,4.16.0-2,4.16.0-2,,4.16.0-1,4.16.0-1
python-kubernetes.spec,,,,,30.1.0-3,30.1.0-3,,30.1.0-2,30.1.0-2
python-linux-procfs.spec,,,,,0.7.0-2,0.7.0-2,,,
python-lockfile.spec,0.12.2-1,0.12.2-3,0.12.2-3,0.12.2-5,0.12.2-6,0.12.2-6,,0.12.2-5,0.12.2-5
python-looseversion.spec,,,,,1.3.0-2,1.3.0-2,,1.3.0-1,1.3.0-1
python-lxml.spec,3.5.0b1-4,4.9.1-1,4.9.1-1,4.9.1-1,4.9.1-5,4.9.1-5,,4.9.1-5,4.9.1-5
python-M2Crypto.spec,0.26.0-1,0.26.0-2,0.30.1-3,0.38.0-1,0.38.0-3,0.38.0-3,,0.38.0-4,0.38.0-4
python-m2r.spec,0.1.5-1,0.1.7-1,0.2.0-3,0.2.1-3,,,,,
python-macholib.spec,,,1.14-1,,,,,,
python-mako.spec,1.0.6-2,1.0.6-5,1.0.7-2,1.1.3-3,1.2.1-2,1.2.1-2,,1.2.1-1,1.2.1-1
python-markupsafe.spec,0.23-2,1.1.1-1,1.1.1-1,2.1.1-1,2.1.1-4,2.1.1-4,,2.1.1-2,2.1.1-2
python-mistune.spec,0.7.4-1,0.7.4-2,0.8.3-1,0.8.4-2,2.0.5-2,2.0.5-2,,2.0.5-1,2.0.5-1
python-mock.spec,,,,4.0.3-2,4.0.3-3,4.0.3-3,,4.0.3-2,4.0.3-2
python-more-itertools.spec,,,,8.5.0-2,8.14.0-2,8.14.0-2,,8.14.0-1,8.14.0-1
python-msgpack.spec,0.4.8-1,0.4.8-2,0.5.6-1,1.0.2-1,1.0.4-3,1.0.4-3,,1.0.4-2,1.0.4-2
python-ndg-httpsclient.spec,0.4.2-1,0.4.2-1,0.5.1-2,0.5.1-5,0.5.1-6,0.5.1-6,,0.5.1-6,0.5.1-6
python-netaddr.spec,0.7.19-1,0.7.19-5,0.7.19-7,0.8.0-3,0.8.0-3,0.8.0-3,,0.8.0-3,0.8.0-3
python-netifaces.spec,,,0.10.9-1,0.10.9-3,0.11.0-2,0.11.0-2,,0.11.0-1,0.11.0-1
python-networkx.spec,,,,3.2-1,3.2-2,3.2-2,,3.2-1,3.2-1
python-nocasedict.spec,,,,1.0.2-2,1.0.4-3,1.0.4-3,,1.0.4-2,1.0.4-2
python-nocaselist.spec,,,,1.0.4-2,1.0.6-3,1.0.6-3,,1.0.6-2,1.0.6-2
python-ntplib.spec,0.3.3-1,0.3.3-2,0.3.3-2,0.3.4-3,0.4.0-3,0.4.0-3,,0.4.0-2,0.4.0-2
python-numpy.spec,1.8.2-4,1.12.1-7,1.15.1-4,1.23.4-1,1.23.4-3,1.23.4-3,,1.23.4-2,1.23.4-2
