Page URL,Issue Category,Issue Location Description,Fix Suggestion
https://127.0.0.1/photon/docs-v5/command-line-reference/command-line-interfaces/photon-network-config-manager-cli/configure-sr-iov-using-network-configuration-manager/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/user-guide/a_b_partition_overview/configuring-a/b-partition-system/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/administration-guide/managing-services-withsystemd/controlling-services/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/administration-guide/managing-services-withsystemd/controlling-services/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/administration-guide/managing-services-withsystemd/controlling-services/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/administration-guide/security-policy/default-permissions-and-umask/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/administration-guide/security-policy/default-permissions-and-umask/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/administration-guide/security-policy/default-permissions-and-umask/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/administration-guide/cloud-init-on-photon-os/deploy-photon-os-with-cloud-init/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/administration-guide/cloud-init-on-photon-os/deploy-photon-os-with-cloud-init/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/administration-guide/cloud-init-on-photon-os/deploy-photon-os-with-cloud-init/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/overview/flavours/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/overview/flavours/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/overview/flavours/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/installation-guide/build-package-kernel-modules-using-script/hello-world-binary/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/installation-guide/run-photon-on-fusion/importing-the-ova-for-photon-os/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/installation-guide/run-photon-on-fusion/importing-the-ova-for-photon-os-3.0/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/installation-guide/run-photon-on-workstation/importing-the-ova-for-photon-os/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/installation-guide/run-photon-on-vsphere/importing-the-ova-for-photon-os/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/installation-guide/run-photon-on-vsphere/importing-the-ova-for-photon-os-3.0/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/installation-guide/run-photon-on-workstation/importing-the-ova-for-photon-os-3.0/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/installation-guide/run-photon-on-vsphere/importing-the-ova-for-photon-os-4.0/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/installation-guide/run-photon-on-fusion/importing-the-ova-for-photon-os-4.0/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/installation-guide/run-photon-on-workstation/importing-the-ova-for-photon-os-4.0/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/troubleshooting-guide/network-troubleshooting/inspecting-ip-addresses/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/troubleshooting-guide/network-troubleshooting/inspecting-ip-addresses/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
